Chinese,Jyutping,Yale,POS,English
慘,caam2,cháam,Adj,miserable; tragic; wretched; pitiful
試過,si3gwo3,sigwo,V,experienced; encountered before
小事,siu2si6,síusih,N/Adj,petty thing; minor matter
珍貴嘅回憶,zan1gwai3 ge3 wui4jik1,jāngwai ge wùihyīk,PH,valuable/precious memory
收,sau1,sāu,V,receive; take in
袋返,doi2 faan1,dói fāan,RVE,take back (and put it into pocket or bag or wallet)
搵工,wan2gung1,wángūng,VO,look for work/job
第日,dai6jat6,daihyaht,TW,next time; in the future; later
原來,jyun4loi4,yùhnlòih,Adv,as a matter of fact; as it turns out; actually
技巧,gei6haau2,geihháau,N,skill; technique
包裝,baau1zong1,bāaujōng,N/V,packaging; exterior by the looks; pack; wrap
